v,feasible,T_peak,r_up_max,r_dn_min,tau_150_190,tau_217,min_margin,m_g1_up_max,m_g2_up_min,m_g3_dn_min,m_g4_dn_max,m_g5_tau150_lo,m_g6_tau150_hi,m_g7_tau217_lo,m_g8_tau217_hi,m_g9_peak_lo,m_g10_peak_hi
65.0,True,246.43311493460072,2.037487457352853,-1.402864207499988,106.41502633546176,85.58780393001857,0.016161477878422148,0.962512542647147,0.016161477878422148,1.597135792500012,0.03422974842965232,46.41502633546176,13.58497366453824,45.587803930018566,4.412196069981434,6.433114934600724,3.5668850653992763
66.0,True,246.15746509108632,2.0426533287215136,-1.4014351026542045,103.6047589034735,83.95082797300861,0.016394731506646054,0.9573466712784864,0.016394731506646054,1.5985648973457955,0.016815884585867025,43.604758903473495,16.395241096526505,43.950827973008614,6.049172026991386,6.157465091086323,3.8425349089136773
67.0,True,245.8720934078259,2.0480295350946562,-1.3999477422914879,100.89327155270375,82.33765995111611,0.016627985138735313,0.9519704649053438,0.016627985138735313,1.6000522577085121,0.018136066311853938,40.89327155270375,19.10672844729625,42.33765995111611,7.662340048883891,5.872093407825901,4.127906592174099
68.0,True,245.58116474767678,2.0521059055223816,-1.3983868645927942,98.24151801424864,80.76962973458717,0.016861238774064646,0.9478940944776184,0.016861238774064646,1.6016131354072058,0.0411862353921606,38.24151801424864,21.75848198575136,40.76962973458717,9.23037026541283,5.58116474767678,4.41883525232322
69.0,True,245.2944997924573,2.057010850332915,-1.3968617343975893,95.70484256792668,79.2182681475079,0.01709449241335881,0.9429891496670848,0.01709449241335881,1.6031382656024107,0.020732201957343932,35.704842567926676,24.295157432073324,39.2182681475079,10.7817318524921,5.294499792457287,4.705500207542713
70.0,True,244.9864925342126,2.061936696495138,-1.3951742185233797,93.22740786488441,77.69414861771875,0.017327746056504112,0.9380633035048618,0.017327746056504112,1.6048257814766203,0.026013586091949037,33.22740786488441,26.772592135115588,37.69414861771875,12.305851382281247,4.986492534212601,5.013507465787399
71.0,True,244.70211800439426,2.06651142795684,-1.3936883487879186,90.86023819854822,76.19600424928188,0.017560999703585822,0.93348857204316,0.017560999703585822,1.6063116512120814,0.02470424579473729,30.860238198548217,29.139761801451783,36.196004249281884,13.803995750718116,4.702118004394265,5.297881995605735
72.0,True,244.39748605474,2.070729664339467,-1.391972392923435,88.54241588787586,74.72603823664917,0.017794253353168643,0.929270335660533,0.017794253353168643,1.608027607076565,0.01854325404451629,28.542415887875862,31.457584112124138,34.726038236649174,15.273961763350826,4.39748605474,5.60251394526
73.0,True,244.08710591816455,2.074585992927865,-1.3902932232047078,86.3038216043365,73.27325427399009,0.01802750700815159,0.9254140070721348,0.01802750700815159,1.6097067767952922,0.04493887161333987,26.303821604336505,33.696178395663495,33.27325427399009,16.72674572600991,4.0871059181645535,5.9128940818354465
74.0,True,243.77605954863446,2.079395532688494,-1.388603014632963,84.11051813791931,71.8589976462201,0.018260760666289344,0.9206044673115059,0.018260760666289344,1.611396985367037,0.03382775689215123,24.110518137919314,35.889481862080686,31.858997646220104,18.141002353779896,3.776059548634464,6.223940451365536
75.0,True,243.46011622677267,2.084365412279908,-1.3868804836133677,81.99242246928624,70.46021524113175,0.018494014327709807,0.915634587720092,0.018494014327709807,1.6131195163866323,0.02219409813187667,21.99242246928624,38.00757753071376,30.46021524113175,19.53978475886825,3.4601162267726693,6.539883773227331
76.0,True,243.16068297644097,2.0871874349971336,-1.3851102276823894,79.9475028417001,69.09021827955007,0.018727267992881935,0.9128125650028664,0.018727267992881935,1.6148897723176106,0.048961301192321116,19.9475028417001,40.0524971582999,29.090218279550072,20.909781720449928,3.1606829764409667,6.839317023559033
77.0,True,242.8381782778397,2.091749312449508,-1.3833452355104328,77.96906333141007,67.72254980956043,0.01896052166217521,0.9082506875504919,0.01896052166217521,1.6166547644895672,0.04121324564607676,17.96906333141007,42.03093666858993,27.722549809560434,22.277450190439566,2.8381782778396882,7.161821722160312
78.0,True,242.51752320260152,2.095094535023833,-1.3816096683324304,76.03408388516642,66.38660167522639,0.01919377533531963,0.9049054649761672,0.01919377533531963,1.6183903316675696,0.037404688195920244,16.034083885166424,43.965916114833576,26.386601675226387,23.613398324773613,2.5175232026015237,7.482476797398476
